0 1 38.05259518088089 2 91.26883367283708 3 61.07372593840988 4 33.24154027718932 5 85.61541917201598 6 46.09772228646444 7 103.4456378974 8 45.12205669071391 9 88.50988645343524 10 15.033296378372908 11 67.26812023536856 12 13.92838827718412 
1 0 38.05259518088089 2 94.2443632266673 3 68.60029154456998 4 12.206555615733702 5 104.7377677822093 6 10.63014581273465 7 88.95504482602435 8 63.7808748764079 9 73.55270219373317 10 53.009433122794285 11 68.70953354520753 12 25.179356624028344 
2 0 91.26883367283708 1 94.2443632266673 3 30.265491900843113 4 82.56512580987206 5 41.7612260356422 6 89.47066558375433 7 44.01136216933077 8 49.9799959983992 9 43.08131845707603 10 92.64987857520376 11 25.709920264364882 12 86.20904824900923 
3 0 61.07372593840988 1 68.60029154456998 2 30.265491900843113 4 56.43580423808985 5 40.24922359499622 6 66.06814663663572 7 56.08029957123981 8 21.400934559032695 9 46.17358552246078 10 62.6418390534633 11 11.180339887498949 12 56.88585061331157 
4 0 33.24154027718932 1 12.206555615733702 2 82.56512580987206 3 56.43580423808985 5 92.65527507918802 6 14.142135623730951 7 80.52328855678958 8 52.009614495783374 9 65.0 10 47.29693436154187 11 56.92099788303083 12 19.313207915827967 
5 0 85.61541917201598 1 104.7377677822093 2 41.7612260356422 3 40.24922359499622 4 92.65527507918802 6 104.1393297462587 7 84.71717653463199 8 41.88078318274385 9 80.09993757800315 10 80.049984384758 11 47.80167361086848 12 87.13208364316786 
6 0 46.09772228646444 1 10.63014581273465 2 89.47066558375433 3 66.06814663663572 4 14.142135623730951 5 104.1393297462587 7 80.22468448052632 8 64.66065264130884 9 65.03076195155643 10 60.67124524847005 11 64.4980619863884 12 32.38826948140329 
7 0 103.4456378974 1 88.95504482602435 2 44.01136216933077 3 56.08029957123981 4 80.52328855678958 5 84.71717653463199 6 80.22468448052632 8 76.40026177965623 9 15.524174696260024 10 110.80162453682708 11 44.94441010848846 12 93.1074647920348 
8 0 45.12205669071391 1 63.7808748764079 2 49.9799959983992 3 21.400934559032695 4 52.009614495783374 5 41.88078318274385 6 64.66065264130884 7 76.40026177965623 9 64.88451279003334 10 43.289721643826724 11 31.827660925679098 12 45.27692569068709 
9 0 88.50988645343524 1 73.55270219373317 2 43.08131845707603 3 46.17358552246078 4 65.0 5 80.09993757800315 6 65.03076195155643 7 15.524174696260024 8 64.88451279003334 10 96.54014708917737 11 35.17101079013795 12 77.82030583337487 
10 0 15.033296378372908 1 53.009433122794285 2 92.64987857520376 3 62.6418390534633 4 47.29693436154187 5 80.049984384758 6 60.67124524847005 7 110.80162453682708 8 43.289721643826724 9 96.54014708917737 11 70.77428911688199 12 28.284271247461902 
11 0 67.26812023536856 1 68.70953354520753 2 25.709920264364882 3 11.180339887498949 4 56.92099788303083 5 47.80167361086848 6 64.4980619863884 7 44.94441010848846 8 31.827660925679098 9 35.17101079013795 10 70.77428911688199 12 61.0 
12 0 13.92838827718412 1 25.179356624028344 2 86.20904824900923 3 56.88585061331157 4 19.313207915827967 5 87.13208364316786 6 32.38826948140329 7 93.1074647920348 8 45.27692569068709 9 77.82030583337487 10 28.284271247461902 11 61.0 
