0 1 66.03029607687671 2 18.601075237738275 3 39.20459156782532 4 75.92759709091287 5 97.94386147176351 6 47.4236228055175 7 36.235341863986875 8 37.36308338453881 9 89.00561780022652 10 38.01315561749642 11 87.11486669908874 12 72.01388754955533 
1 0 66.03029607687671 2 51.78802950489621 3 27.65863337187866 4 20.615528128088304 5 56.61271941887264 6 46.010868281309364 7 52.43090691567332 8 31.04834939252005 9 84.77027781009096 10 42.43819034784589 11 67.47592163134935 12 75.59100475585703 
2 0 18.601075237738275 1 51.78802950489621 3 28.30194339616981 4 65.30696746902278 5 92.69843580125827 6 47.4236228055175 7 39.81205847478876 8 21.02379604162864 9 93.68030742904295 10 36.6742416417845 11 87.32124598286491 12 77.6659513557904 
3 0 39.20459156782532 1 27.65863337187866 2 28.30194339616981 4 37.33630940518894 5 65.11528238439882 6 28.284271247461902 7 28.844410203711913 8 14.317821063276353 9 75.02666192761077 10 19.697715603592208 11 63.89053137985315 12 61.5223536610881 
4 0 75.92759709091287 1 20.615528128088304 2 65.30696746902278 3 37.33630940518894 5 36.138621999185304 6 41.78516483155236 7 52.172789842982326 8 46.61544808322666 9 70.2353187506115 10 43.289721643826724 11 50.59644256269407 12 64.4437739428721 
5 0 97.94386147176351 1 56.61271941887264 2 92.69843580125827 3 65.11528238439882 4 36.138621999185304 6 52.0 7 64.62197768561404 8 77.80102827083971 9 49.92995093127971 10 60.03332407921454 11 28.178005607210743 12 53.600373133029585 
6 0 47.4236228055175 1 46.010868281309364 2 47.4236228055175 3 28.284271247461902 4 41.78516483155236 5 52.0 7 12.649110640673518 8 42.01190307520001 9 47.38143096192854 10 10.770329614269007 11 40.22437072223753 12 33.24154027718932 
7 0 36.235341863986875 1 52.43090691567332 2 39.81205847478876 3 28.844410203711913 4 52.172789842982326 5 64.62197768561404 6 12.649110640673518 8 40.162171256046406 9 54.08326913195984 10 10.0 11 50.93132631298737 12 37.8549864614954 
8 0 37.36308338453881 1 31.04834939252005 2 21.02379604162864 3 14.317821063276353 4 46.61544808322666 5 77.80102827083971 6 42.01190307520001 7 40.162171256046406 9 89.1403387922662 10 32.38826948140329 11 78.16009211867653 12 75.16648189186454 
9 0 89.00561780022652 1 84.77027781009096 2 93.68030742904295 3 75.02666192761077 4 70.2353187506115 5 49.92995093127971 6 47.38143096192854 7 54.08326913195984 8 89.1403387922662 10 57.87054518492115 11 22.02271554554524 12 17.204650534085253 
10 0 38.01315561749642 1 42.43819034784589 2 36.6742416417845 3 19.697715603592208 4 43.289721643826724 5 60.03332407921454 6 10.770329614269007 7 10.0 8 32.38826948140329 9 57.87054518492115 11 50.774009099144415 12 43.0 
11 0 87.11486669908874 1 67.47592163134935 2 87.32124598286491 3 63.89053137985315 4 50.59644256269407 5 28.178005607210743 6 40.22437072223753 7 50.93132631298737 8 78.16009211867653 9 22.02271554554524 10 50.774009099144415 12 27.0 
12 0 72.01388754955533 1 75.59100475585703 2 77.6659513557904 3 61.5223536610881 4 64.4437739428721 5 53.600373133029585 6 33.24154027718932 7 37.8549864614954 8 75.16648189186454 9 17.204650534085253 10 43.0 11 27.0 
