0 1 16.55294535724685 2 55.21775076911409 3 17.11724276862369 4 48.27007354458868 5 82.21921916437786 6 57.4543296888929 7 33.301651610693426 8 52.0 9 38.07886552931954 10 33.28663395418648 11 60.8276253029822 12 62.177166226839255 
1 0 16.55294535724685 2 54.70831746635972 3 32.38826948140329 4 64.40496875241847 5 97.58073580374356 6 71.84010022264724 7 49.4064773081425 8 68.54195795277518 9 52.49761899362675 10 39.11521443121589 11 62.369864518050704 12 76.02631123499285 
2 0 55.21775076911409 1 54.70831746635972 3 67.89698078707183 4 70.40596565632774 5 87.66413177577246 6 62.12889826803627 7 61.465437442517235 8 83.81527307120105 9 52.392747589718944 10 88.48163651289458 11 9.848857801796104 12 61.814237842102365 
3 0 17.11724276862369 1 32.38826948140329 2 67.89698078707183 4 38.58756276314948 5 73.92563831310488 6 52.630789467763066 7 25.298221281347036 8 38.01315561749642 9 35.05709628591621 10 26.019223662515376 11 71.84010022264724 12 58.249463516842795 
4 0 48.27007354458868 1 64.40496875241847 2 70.40596565632774 3 38.58756276314948 5 35.35533905932738 6 19.313207915827967 7 15.0 8 15.556349186104045 9 18.110770276274835 10 61.98386886924694 11 68.9492567037528 12 25.298221281347036 
5 0 82.21921916437786 1 97.58073580374356 2 87.66413177577246 3 73.92563831310488 4 35.35533905932738 6 27.294688127912362 7 49.4064773081425 8 42.42640687119285 9 45.45327270945405 10 96.93296652842108 11 82.38931969618392 12 25.96150997149434 
6 0 57.4543296888929 1 71.84010022264724 2 62.12889826803627 3 52.630789467763066 4 19.313207915827967 5 27.294688127912362 7 27.459060435491963 8 34.132096331752024 9 19.4164878389476 10 77.92945527847606 11 58.215118311311535 12 6.082762530298219 
7 0 33.301651610693426 1 49.4064773081425 2 61.465437442517235 3 25.298221281347036 4 15.0 5 49.4064773081425 6 27.459060435491963 8 23.08679276123039 9 12.529964086141668 10 50.48762224545735 11 61.91122676865643 12 33.24154027718932 
8 0 52.0 1 68.54195795277518 2 83.81527307120105 3 38.01315561749642 4 15.556349186104045 5 42.42640687119285 6 34.132096331752024 7 23.08679276123039 9 31.78049716414141 10 56.60388679233962 11 83.2586331859946 12 39.824615503479755 
9 0 38.07886552931954 1 52.49761899362675 2 52.392747589718944 3 35.05709628591621 4 18.110770276274835 5 45.45327270945405 6 19.4164878389476 7 12.529964086141668 8 31.78049716414141 10 61.00819617067857 11 51.478150704935004 12 24.166091947189145 
10 0 33.28663395418648 1 39.11521443121589 2 88.48163651289458 3 26.019223662515376 4 61.98386886924694 5 96.93296652842108 6 77.92945527847606 7 50.48762224545735 8 56.60388679233962 9 61.00819617067857 11 94.02127418834527 12 83.72574275573791 
11 0 60.8276253029822 1 62.369864518050704 2 9.848857801796104 3 71.84010022264724 4 68.9492567037528 5 82.38931969618392 6 58.215118311311535 7 61.91122676865643 8 83.2586331859946 9 51.478150704935004 10 94.02127418834527 12 57.0087712549569 
12 0 62.177166226839255 1 76.02631123499285 2 61.814237842102365 3 58.249463516842795 4 25.298221281347036 5 25.96150997149434 6 6.082762530298219 7 33.24154027718932 8 39.824615503479755 9 24.166091947189145 10 83.72574275573791 11 57.0087712549569 
